SiteName,Laboratory ID,Age,SD,Material ,CalCurve,CorrectSiteDesignation,Context,Mulrooney_Class,Notes,Reference
Ahu Vai Teka ,I-455 ,340,75,Wood charcoal ,shcal20,Vai Teka,Ceremonial,2a,_,Mulrooney 2013
Ahu Vai Teka ,TBN-348-2 ,399,76,Wood charcoal ,shcal20,Vai Teka,Ceremonial,2a,_,Mulrooney 2013
Ahu Vinapu 1 ,K-523 ,440,100,Wood charcoal ,shcal20,Vinapu,Ceremonial,2c,_,Mulrooney 2013
Ahu Vinapu 1 ,M-709,120,200,Wood charcoal,shcal20,Vinapu,Ceremonial,2b,Not in Lima et al.,Mulrooney 2013
Ahu Vinapu 2 ,Ua-19464 ,605,45,Carbonized nutshell ,shcal20,Vinapu,Ceremonial,1c,_,Mulrooney 2013
Ahu Vinapu 2 ,Ua-19463 ,610,40,Carbonized nutshell ,shcal20,Vinapu,Ceremonial,1c,_,Mulrooney 2013
Ahu Vinapu 2 ,M-710 ,1100,200,Wood charcoal ,shcal20,Vinapu,Ceremonial,2b,_,Mulrooney 2013
Akahanga settlement ,Beta-099353 ,200,50,Wood charcoal ,shcal20,Akahanga,Residential,2b,_,Mulrooney 2013
Akahanga settlement ,Beta-099334 ,320,60,Wood charcoal ,shcal20,Akahanga,Residential,2b,_,Mulrooney 2013
Akahanga settlement ,Beta-099343 ,220,70,Wood charcoal ,shcal20,Akahanga,Residential,2b,_,Mulrooney 2013
Akahanga settlement ,Beta-099351,80,50,Wood charcoal,shcal20,Akahanga,Residential,2b,Not in Lima et al.,Mulrooney 2013
Akahanga settlement ,Beta-099352,10,60,Wood charcoal,shcal20,Akahanga,Residential,2b,Not in Lima et al.,Mulrooney 2013
Akahanga settlement ,Beta-099333 ,340,60,Wood charcoal ,shcal20,Akahanga,Residential,2b,_,Mulrooney 2013
Akahanga settlement ,Beta-099330 ,220,70,Wood charcoal ,shcal20,Akahanga,Residential,2b,_,Mulrooney 2013
Akahanga settlement ,Beta-099354 ,390,110,Wood charcoal ,shcal20,Akahanga,Residential,2b,_,Mulrooney 2013
Ana Kai Tangata ,Beta-38785 ,290,80,Wood charcoal ,shcal20,Ana Kai Tangata,Residential,2c,_,Mulrooney 2013
Anakena 35-8,UGa-630 ,395,75,Wood charcoal ,shcal20,Anakena,Residential,2a,_,Mulrooney 2013
Anakena cultural layer ,Ua-34189 ,565,35,Carbonized nutshell ,shcal20,Anakena,Residential,1c,_,Mulrooney 2013
Anakena cultural layer ,Beta-47172 ,170,110,Wood charcoal ,shcal20,Anakena,Residential,2c,_,Mulrooney 2013
Anakena cultural layer ,T-7977 ,220,80,Wood charcoal ,shcal20,Anakena,Residential,2c,_,Mulrooney 2013
Anakena cultural layer ,T-7958 ,340,100,Wood charcoal ,shcal20,Anakena,Residential,2c,_,Mulrooney 2013
Anakena cultural layer ,T-6680 ,370,90,Wood charcoal ,shcal20,Anakena,Residential,2c,_,Mulrooney 2013
Anakena cultural layer ,T-7959 ,510,40,Wood charcoal ,shcal20,Anakena,Residential,2c,_,Mulrooney 2013
Anakena cultural layer ,T-7974 ,540,60,Wood charcoal ,shcal20,Anakena,Residential,2c,_,Mulrooney 2013
Anakena cultural layer ,T-7349 ,550,150,Wood charcoal ,shcal20,Anakena,Residential,2c,_,Mulrooney 2013
Anakena cultural layer ,T-7344 ,600,140,Wood charcoal ,shcal20,Anakena,Residential,2c,_,Mulrooney 2013
Anakena cultural layer ,Beta-47171 ,660,80,Wood charcoal ,shcal20,Anakena,Residential,2c,_,Mulrooney 2013
Anakena cultural layer ,T-7975 ,710,40,Wood charcoal ,shcal20,Anakena,Residential,2b,_,Mulrooney 2013
Anakena cultural layer ,T-7350 ,710,80,Wood charcoal ,shcal20,Anakena,Residential,2c,_,Mulrooney 2013
Anakena cultural layer ,T-7343 ,750,100,Wood charcoal ,shcal20,Anakena,Residential,2c,_,Mulrooney 2013
Anakena cultural layer ,T-7976 ,789,90,Wood charcoal ,shcal20,Anakena,Residential,2c,_,Mulrooney 2013
Anakena cultural layer ,T-7345 ,810,80,Wood charcoal ,shcal20,Anakena,Residential,2c,_,Mulrooney 2013
Anakena cultural layer ,T-7346 ,810,70,Wood charcoal ,shcal20,Anakena,Residential,2c,_,Mulrooney 2013
Anakena cultural layer ,Beta-47173 ,860,100,Wood charcoal ,shcal20,Anakena,Residential,2c,_,Mulrooney 2013
Anakena cultural layer ,T-7341 ,900,120,Wood charcoal ,shcal20,Anakena,Residential,2c,_,Mulrooney 2013
Anakena cultural layer ,Beta-47169 ,900,80,Wood charcoal ,shcal20,Anakena,Residential,2c,_,Mulrooney 2013
Anakena cultural layer ,Beta-47170 ,900,60,Wood charcoal ,shcal20,Anakena,Residential,2c,_,Mulrooney 2013
Anakena cultural layer ,T-6679 ,1170,140,Wood charcoal ,shcal20,Anakena,Residential,2c,_,Mulrooney 2013
Anakena Pipe Trench,Beta-77744,70,50,Wood charcoal,shcal20,Anakena,Residential,2b,Not in Lima et al.,Mulrooney 2013
Anakena Dune Site ,Beta-196714 ,590,60,Wood charcoal ,shcal20,Anakena,Residential,1c,_,Mulrooney 2013
Anakena Dune Site ,Beta-196711 ,660,40,Wood charcoal ,shcal20,Anakena,Residential,1c,_,Mulrooney 2013
Anakena Dune Site ,Beta-196713 ,670,40,Wood charcoal ,shcal20,Anakena,Residential,1c,_,Mulrooney 2013
Anakena Dune Site ,Beta-196712 ,680,60,Wood charcoal ,shcal20,Anakena,Residential,1c,_,Mulrooney 2013
Anakena Dune Site ,Beta-196715 ,710,40,Wood charcoal ,shcal20,Anakena,Residential,1c,_,Mulrooney 2013
Anakena Dune Site ,Beta-196716 ,720,60,Wood charcoal ,shcal20,Anakena,Residential,1c,_,Mulrooney 2013
Anakena Dune Site ,Beta-209903 ,870,80,Wood charcoal ,shcal20,Anakena,Residential,1c,_,Mulrooney 2013
Anakena Dune Site ,Beta-209904 ,870,40,Wood charcoal ,shcal20,Anakena,Residential,1c,_,Mulrooney 2013
Anakena E2,K-522 ,430,100,Wood charcoal ,shcal20,Anakena,Residential,2b,_,Mulrooney 2013
Anakena pre-Ahu Nau Nau I,Ua-34188 ,665,30,Wood charcoal unidentified,shcal20,Anakena,Residential,2a,_,Mulrooney 2013
Anakena pre-Ahu Nau Nau I,Ua-34186 ,555,35,Wood charcoal unidentified ,shcal20,Anakena,Residential,2a,_,Mulrooney 2013
Anakena settlement ,Ua-34190 ,665,35,Wood charcoal unidentified ,shcal20,Anakena,Residential,2c,_,Mulrooney 2013
Anakena settlement ,Ua-34191 ,565,35,Carbonized nutshell ,shcal20,Anakena,Residential,1c,_,Mulrooney 2013
CS2,Beta-144308 ,740,40,Wood charcoal ,shcal20,CS2,Agricultural,2c,_,Mulrooney 2013
CS2,Beta-144309 ,250,40,Wood charcoal ,shcal20,CS2,Agricultural,2c,_,Mulrooney 2013
